idx	gene_id	task_id	system	subsystem	reactions
696	MVK	141	LIPIDS METABOLISM	CHOLESTEROL METABOLISM	MEVK1x|MEVK1c
697	IMPA1	54	CARBOHYDRATES METABOLISM	PHOSPHATE INOSITOL METABOLISM	MI1PP|MI3PP|MI4PP
698	MTMR2	54	CARBOHYDRATES METABOLISM	PHOSPHATE INOSITOL METABOLISM	MI1PP|RE3269C
699	IMPA2	54	CARBOHYDRATES METABOLISM	PHOSPHATE INOSITOL METABOLISM	MI1PP|MI3PP|MI4PP
700	MTMR1	54	CARBOHYDRATES METABOLISM	PHOSPHATE INOSITOL METABOLISM	MI1PP
701	ISYNA1	54	CARBOHYDRATES METABOLISM	PHOSPHATE INOSITOL METABOLISM	MI1PS
702	MMUT	136	AMINO ACIDS METABOLISM	VALINE METABOLISM	MMMm
703	ALDH6A1	78	AMINO ACIDS METABOLISM	BETA-ALANINE METABOLISM	MMSAD1m|MMSAD3m
704	MTHFD2	108	AMINO ACIDS METABOLISM	METHIONINE METABOLISM	MTHFCm|MTHFD2|MTHFD2m|MTHFDm
705	C1GALT1	189	GLYCAN METABOLISM	O-GLYCAN METABOLISM	N3Tg
706	CNDP1	79	AMINO ACIDS METABOLISM	BETA-ALANINE METABOLISM	NBAHH_ir
707	CNDP2	79	AMINO ACIDS METABOLISM	BETA-ALANINE METABOLISM	NBAHH_ir
708	NMNAT3	175	VITAMIN & COFACTOR METABOLISM	COENZYME NAD BIOSYNTHESIS	NMNATr|NNATr
709	NMNAT2	175	VITAMIN & COFACTOR METABOLISM	COENZYME NAD BIOSYNTHESIS	NMNATr|NNATr
710	NAMPT	175	VITAMIN & COFACTOR METABOLISM	COENZYME NAD BIOSYNTHESIS	NMNS
711	PNMT	132	AMINO ACIDS METABOLISM	TYROSINE METABOLISM	NORANMT
712	NOS3	67	AMINO ACIDS METABOLISM	ARGININE METABOLISM	NOS1|NOS2
713	NT5C2	22	NUCLEOTIDE METABOLISM	PURINE CATABOLISM	NT5C|NTD10|NTD11|NTD4|NTD5|NTD6|NTD7|NTD8|NTD9|r0047
714	NT5C3A	22	NUCLEOTIDE METABOLISM	PURINE CATABOLISM	NT5C|NTD1|NTD10|NTD11|NTD2|NTD3|NTD4|NTD5|NTD6|NTD7|NTD8|NTD9|r0047
715	NT5C1B	22	NUCLEOTIDE METABOLISM	PURINE CATABOLISM	NT5C|NTD10|NTD11|NTD3|NTD4|NTD5|NTD6|NTD7|NTD8|NTD9|r0047
716	OTC	66	AMINO ACIDS METABOLISM	ARGININE METABOLISM	OCBTm
717	OTC	108	AMINO ACIDS METABOLISM	METHIONINE METABOLISM	OCBTm
718	BCKDHB	102	AMINO ACIDS METABOLISM	ISOLEUCINE METABOLISM	OIVD1m|OIVD2m|OIVD3m|r0385|r0386|r0670|r1154|RE3326M
719	BCKDHB	103	AMINO ACIDS METABOLISM	LEUCINE METABOLISM	OIVD1m|OIVD2m|OIVD3m|r0385|r0386|r0670|r1154|RE3326M
720	BCKDHB	104	AMINO ACIDS METABOLISM	LEUCINE METABOLISM	OIVD1m|OIVD2m|OIVD3m|r0385|r0386|r0670|r1154|RE3326M
721	BCKDHB	135	AMINO ACIDS METABOLISM	VALINE METABOLISM	OIVD1m|OIVD2m|OIVD3m|r0385|r0386|r0670|r1154|RE3326M
722	BCKDHB	136	AMINO ACIDS METABOLISM	VALINE METABOLISM	OIVD1m|OIVD2m|OIVD3m|r0385|r0386|r0670|r1154|RE3326M
723	DBT	102	AMINO ACIDS METABOLISM	ISOLEUCINE METABOLISM	OIVD1m|OIVD2m|OIVD3m|r0604|r0656|r1154
724	DBT	103	AMINO ACIDS METABOLISM	LEUCINE METABOLISM	OIVD1m|OIVD2m|OIVD3m|r0604|r0656|r1154
725	DBT	104	AMINO ACIDS METABOLISM	LEUCINE METABOLISM	OIVD1m|OIVD2m|OIVD3m|r0604|r0656|r1154
726	BCKDHA	102	AMINO ACIDS METABOLISM	ISOLEUCINE METABOLISM	OIVD1m|OIVD2m|OIVD3m|r0385|r0386|r0670|r1154
727	BCKDHA	103	AMINO ACIDS METABOLISM	LEUCINE METABOLISM	OIVD1m|OIVD2m|OIVD3m|r0385|r0386|r0670|r1154
728	BCKDHA	104	AMINO ACIDS METABOLISM	LEUCINE METABOLISM	OIVD1m|OIVD2m|OIVD3m|r0385|r0386|r0670|r1154
729	BCKDHA	135	AMINO ACIDS METABOLISM	VALINE METABOLISM	OIVD1m|OIVD2m|OIVD3m|r0385|r0386|r0670|r1154
730	BCKDHA	136	AMINO ACIDS METABOLISM	VALINE METABOLISM	OIVD1m|OIVD2m|OIVD3m|r0385|r0386|r0670|r1154
731	UMPS	10	NUCLEOTIDE METABOLISM	UMP SYNTHESIS	OMPDC|ORPT
732	UMPS	12	NUCLEOTIDE METABOLISM	UMP SYNTHESIS	OMPDC|ORPT
733	UMPS	14	NUCLEOTIDE METABOLISM	DEOXYNUCLEOTIDES SYNTHESIS	OMPDC|ORPT
734	UMPS	16	NUCLEOTIDE METABOLISM	DEOXYNUCLEOTIDES SYNTHESIS	OMPDC|ORPT
735	UMPS	17	NUCLEOTIDE METABOLISM	DEOXYNUCLEOTIDES SYNTHESIS	OMPDC|ORPT
736	ODC1	112	AMINO ACIDS METABOLISM	ORNITHINE METABOLISM	ORNDC
737	CYP8B1	169	LIPIDS METABOLISM	BILE ACID SYNTHESIS	P4508B11r|P4508B13r
738	CYP8B1	170	LIPIDS METABOLISM	BILE ACID SYNTHESIS	P4508B11r|P4508B13r
739	ALDH4A1	120	AMINO ACIDS METABOLISM	PROLINE METABOLISM	P5CDm|r0074
740	PYCR1	88	AMINO ACIDS METABOLISM	GLUTAMATE METABOLISM	P5CRm|r0617|r0618
741	PYCR1	119	AMINO ACIDS METABOLISM	PROLINE METABOLISM	P5CRm|r0617|r0618
742	PYCR1	121	AMINO ACIDS METABOLISM	PROLINE METABOLISM	P5CRm|r0617|r0618
743	PC	61	AMINO ACIDS METABOLISM	ALANINE METABOLISM	PCm
744	PC	70	AMINO ACIDS METABOLISM	ASPARAGINE METABOLISM	PCm
745	PC	77	AMINO ACIDS METABOLISM	BETA-ALANINE METABOLISM	PCm
746	PC	108	AMINO ACIDS METABOLISM	METHIONINE METABOLISM	PCm
747	PC	119	AMINO ACIDS METABOLISM	PROLINE METABOLISM	PCm
748	PDHB	3	ENERGY METABOLISM	KREBS CYCLE	PDHm|r0383
749	PDHB	5	ENERGY METABOLISM	ATP GENERATION	PDHm|r0383
750	PDHB	52	CARBOHYDRATES METABOLISM	KETOGENESIS	PDHm|r0383
751	PDHB	53	CARBOHYDRATES METABOLISM	KETOGENESIS	PDHm|r0383
752	PDHB	61	AMINO ACIDS METABOLISM	ALANINE METABOLISM	PDHm|r0383
753	PDHB	70	AMINO ACIDS METABOLISM	ASPARAGINE METABOLISM	PDHm|r0383
754	PDHB	77	AMINO ACIDS METABOLISM	BETA-ALANINE METABOLISM	PDHm|r0383
755	PDHB	108	AMINO ACIDS METABOLISM	METHIONINE METABOLISM	PDHm|r0383
756	PDHB	119	AMINO ACIDS METABOLISM	PROLINE METABOLISM	PDHm|r0383
757	PDHB	137	LIPIDS METABOLISM	CHOLESTEROL METABOLISM	PDHm|r0383
758	PDHB	139	LIPIDS METABOLISM	CHOLESTEROL METABOLISM	PDHm|r0383
759	PDHB	151	LIPIDS METABOLISM	FATTY ACID METABOLISM	PDHm|r0383
760	PDHB	165	LIPIDS METABOLISM	FATTY ACID METABOLISM	PDHm|r0383
761	DLAT	3	ENERGY METABOLISM	KREBS CYCLE	PDHm|r0555
762	DLAT	5	ENERGY METABOLISM	ATP GENERATION	PDHm|r0555
763	DLAT	52	CARBOHYDRATES METABOLISM	KETOGENESIS	PDHm|r0555
764	DLAT	53	CARBOHYDRATES METABOLISM	KETOGENESIS	PDHm|r0555
765	DLAT	61	AMINO ACIDS METABOLISM	ALANINE METABOLISM	PDHm|r0555
766	DLAT	70	AMINO ACIDS METABOLISM	ASPARAGINE METABOLISM	PDHm|r0555
767	DLAT	77	AMINO ACIDS METABOLISM	BETA-ALANINE METABOLISM	PDHm|r0555
768	DLAT	108	AMINO ACIDS METABOLISM	METHIONINE METABOLISM	PDHm|r0555
769	DLAT	119	AMINO ACIDS METABOLISM	PROLINE METABOLISM	PDHm|r0555
770	DLAT	137	LIPIDS METABOLISM	CHOLESTEROL METABOLISM	PDHm|r0555
771	DLAT	139	LIPIDS METABOLISM	CHOLESTEROL METABOLISM	PDHm|r0555
